eval rewards,goals,eval successes,rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/n_updates,train/learning_rate,train/actor_loss,train/critic_loss
0.0,14,0.0,79.95,2113,384,0.23,15,32265,31250,1e-05,0.013166753854602576,0.00423458699544426
0.0,14,0.0,79.95,2117,388,0.23,15,32665,31650,1e-05,0.011222119147423654,0.003486178820312489
0.0,14,0.0,79.01,2120,392,0.24,15,32971,31950,1e-05,0.021990077048540117,0.064390189681435
0.0,14,0.0,80.0,2124,396,0.23,15,33371,32350,1e-05,0.0055018692929297685,0.0017957114918681328
0.0,14,0.0,79.26,2127,400,0.24,15,33697,32650,1e-05,0.005836522621102631,0.0023929513119219335
0.0,14,0.0,80.2,2131,404,0.23,15,34097,33050,1e-05,0.007480035647749901,0.002476214480630006
0.0,14,0.0,81.52,2135,408,0.21,16,34497,33450,1e-05,0.018907017931342127,0.0013447705697035416
0.0,14,0.0,82.31,2139,412,0.2,16,34897,33850,1e-05,0.02251262277364731,0.0016767445384175516
0.0,14,0.0,81.37,2142,416,0.21,16,35122,34100,1e-05,0.019431989565491678,0.0035227787567419
0.0,14,0.0,81.37,2146,420,0.21,16,35522,34500,1e-05,0.01803448550403118,0.0024963570256659297
0.0,14,0.0,81.81,2149,424,0.21,16,35867,34850,1e-05,0.012617032043635845,0.0012982186320004984
0.0,14,0.0,82.8,2153,428,0.2,16,36267,35250,1e-05,0.021869381554424763,0.002864018947875593
0.0,14,0.0,84.5,2157,432,0.18,16,36667,35650,1e-05,0.023213507682085036,0.003802831204593531
0.0,14,0.0,86.48,2161,436,0.16,17,37067,36050,1e-05,0.010521393064409494,0.003456513367709704
0.0,14,0.0,85.81,2164,440,0.17,17,37400,36350,1e-05,0.012745893038809299,0.0022318029540474528
0.0,14,0.0,86.76,2168,444,0.16,17,37800,36750,1e-05,0.04609267733991146,0.04959539266303182
0.0,14,0.0,85.09,2171,448,0.18,17,38033,37000,1e-05,0.02095682606101036,0.002150272323633544
0.0,14,0.0,85.59,2175,452,0.17,17,38433,37400,1e-05,0.02049954894930124,0.0031356720258190764
0.0,14,0.0,88.06,2178,456,0.14,17,38833,37800,1e-05,0.011072961892932654,0.006757553021234344
0.0,14,0.0,87.1,2181,460,0.15,17,39137,38100,1e-05,0.02234035361558199,0.0014132499229162932
0.0,14,0.0,88.02,2185,464,0.14,18,39537,38500,1e-05,0.019296073317527772,0.0030962812570214738
0.0,14,0.0,88.02,2189,468,0.14,18,39937,38900,1e-05,0.025212305560708047,0.001458894461611635
0.0,14,0.0,89.01,2646,472,0.13,15,40337,39300,1e-05,0.02414384879171848,0.0007777916036138776
0.0,14,0.0,91.73,2650,476,0.1,15,40737,39700,1e-05,0.021119950525462627,0.0023677743402367923
0.0,14,0.0,91.73,2654,480,0.1,15,41137,40100,1e-05,0.02007565036416054,0.0027880450095108243
0.0,14,0.0,91.73,2657,484,0.1,15,41438,40400,1e-05,0.02291317157447338,0.0016128674661013065
0.0,14,0.0,89.75,2659,488,0.12,15,41640,40600,1e-05,0.02522127330303192,0.0026763998293608893
0.0,14,0.0,89.83,2663,492,0.12,15,41954,40950,1e-05,0.01630392676219344,0.0035706503242545293
0.0,14,0.0,89.01,2666,496,0.13,15,42272,41250,1e-05,0.028426332771778105,0.003746530672360677
0.0,14,0.0,89.47,2669,500,0.13,15,42644,41600,1e-05,0.03526260957121849,0.002288366786960978
0.0,14,0.0,89.47,2673,504,0.13,16,43044,42000,1e-05,0.029829251915216445,0.00557782403746387
0.0,14,0.0,89.47,2677,508,0.13,16,43444,42400,1e-05,0.03427077479660511,0.00016159900784259662
0.0,14,0.0,89.47,2681,512,0.13,16,43844,42800,1e-05,0.03569712117314339,0.0022899163469992344
0.0,14,0.0,90.3,2685,516,0.12,16,44152,43150,1e-05,0.028179655745625497,0.001954217197489925
0.0,14,0.0,89.23,2687,520,0.14,16,44445,43400,1e-05,0.029181158915162087,0.006632661369512789
0.0,14,0.0,87.8,2690,524,0.15,16,44647,43600,1e-05,0.028521437123417856,0.001091776055036462
0.0,14,0.0,87.8,2693,528,0.15,16,45047,44000,1e-05,0.035426780581474304,0.0006535215064650402
0.0,14,0.0,87.8,2697,532,0.15,16,45447,44400,1e-05,0.028918529748916625,0.0006464775785570964
0.0,14,0.0,86.81,2700,536,0.16,16,45748,44700,1e-05,0.0304695937782526,0.0008883839596092002
0.0,14,0.0,87.48,2704,540,0.15,17,46148,45100,1e-05,0.02721799487248063,0.0016777641298540403
0.0,14,0.0,87.48,2708,544,0.15,17,46548,45500,1e-05,0.029230970740318298,0.001704042008786928
0.0,14,0.0,88.31,2712,548,0.14,17,46864,45850,1e-05,0.03750760264694691,0.007228482109494508
0.0,14,0.0,88.31,2716,552,0.14,17,47264,46250,1e-05,0.02103807769715786,0.0017830388015136122
0.0,14,0.0,87.35,2719,556,0.15,17,47568,46550,1e-05,0.046018247455358506,0.006184519390808418
0.0,14,0.0,88.31,2723,560,0.14,17,47968,46950,1e-05,0.03616396106779576,0.001810660533956252
0.0,14,0.0,86.43,2725,564,0.16,17,48180,47150,1e-05,0.037714768350124356,0.0017610614947625436
0.0,14,0.0,86.43,2729,568,0.16,17,48580,47550,1e-05,0.035582525581121446,0.005823107080941554
0.0,14,0.0,85.67,2733,572,0.17,17,48904,47900,1e-05,0.033877966701984404,0.004488731350866146
0.0,14,0.0,84.84,2735,576,0.18,17,49221,48200,1e-05,0.037798314467072484,0.0028472280863206835
0.0,14,0.0,84.01,2738,580,0.19,18,49538,48500,1e-05,0.038122695609927176,0.002423463999803062
0.0,14,0.0,83.02,2741,584,0.2,18,49740,48700,1e-05,0.03849261805415154,0.0017800108459050535
0.0,14,0.0,84.01,3195,588,0.19,15,50041,49000,1e-05,0.035265087708830835,0.002465194497053744
0.0,14,0.0,83.88,3198,592,0.19,15,50342,49300,1e-05,0.036842511631548405,0.0026596534013515337
0.0,14,0.0,83.71,3200,596,0.19,15,50643,49600,1e-05,0.04338299952447414,0.009125191854836885
0.0,14,0.0,83.71,3205,600,0.19,15,51015,50000,1e-05,0.04569205746054649,0.0017457212800218258
0.0,14,0.0,83.71,3208,604,0.19,16,51415,50400,1e-05,0.04500801876187324,0.00800879524438642
0.0,14,0.0,83.71,3212,608,0.19,16,51815,50800,1e-05,0.045239602476358415,0.003612371393246576
0.0,14,0.0,83.71,3216,612,0.19,16,52215,51200,1e-05,0.05246221378445625,0.009024355230940273
0.0,14,0.0,84.63,3220,616,0.18,16,52615,51600,1e-05,0.044638323970139025,0.001334004933742108
0.0,14,0.0,84.22,3223,620,0.18,16,52867,51850,1e-05,0.07341016203165054,0.044720548095647246
0.0,14,0.0,86.2,3227,624,0.16,16,53267,52250,1e-05,0.05865678615868092,0.0017286610571318306
0.0,14,0.0,86.2,3231,628,0.16,16,53667,52650,1e-05,0.04637835375964641,0.007746391468535876
0.0,14,0.0,84.22,3233,632,0.18,16,53869,52850,1e-05,0.05778900384902954,0.002679077451612102
0.0,14,0.0,84.15,3236,636,0.19,16,54163,53150,1e-05,0.04853600174188614,0.005022540416102856
0.0,14,0.0,84.15,3240,640,0.19,16,54563,53550,1e-05,0.06196624331176281,0.12479466339485952
0.0,14,0.0,83.33,3243,644,0.2,16,54881,53850,1e-05,0.05106922321021557,0.0025751516431046185
0.0,14,0.0,83.28,3246,648,0.2,16,55192,54150,1e-05,0.06031060695648193,0.0009227146698685828
0.0,14,0.0,83.28,3250,652,0.2,17,55592,54550,1e-05,0.06173615604639053,0.006345367757894564
0.0,14,0.0,83.29,3253,656,0.2,17,55897,54850,1e-05,0.06653490081429482,0.0055595818080473695
0.0,14,0.0,83.29,3257,660,0.2,17,56297,55250,1e-05,0.07222689375281334,0.00259897898620693
0.0,14,0.0,84.18,3260,664,0.19,17,56598,55550,1e-05,0.06882953710854053,0.002725939179363195
0.0,14,0.0,84.18,3264,668,0.19,17,56998,55950,1e-05,0.0719881984591484,0.0023097992039402015
0.0,14,0.0,83.95,3267,672,0.19,17,57299,56250,1e-05,0.07549159616231918,0.000558720428016386
0.0,14,0.0,83.83,3271,676,0.19,17,57604,56600,1e-05,0.07345901980996132,0.003152062517765444
0.0,14,0.0,84.66,3275,680,0.18,17,58004,57000,1e-05,0.07319299638271332,0.0005403766069503036
0.0,14,0.0,85.8,3278,684,0.17,17,58320,57300,1e-05,0.09118155539035797,0.009783207362052054
0.0,14,0.0,85.84,3281,688,0.17,17,58625,57600,1e-05,0.08447327494621276,0.009696222548373044
0.0,14,0.0,86.83,3285,692,0.16,17,59025,58000,1e-05,0.08657298251986503,0.0062872824170335665
0.0,14,0.0,86.85,3288,696,0.16,18,59328,58300,1e-05,0.08938690006732941,0.003453320666885702
0.0,14,0.0,87.13,3291,700,0.15,18,59728,58700,1e-05,0.07816879034042358,0.004354701656557154
0.0,14,0.0,87.13,3742,704,0.15,16,60128,59100,1e-05,0.0775852194428444,0.0014303184211894404
0.0,14,0.0,86.33,3745,708,0.16,16,60448,59400,1e-05,0.08619332984089852,0.0030396646686131133
0.0,14,0.0,86.33,3750,712,0.16,16,60848,59800,1e-05,0.08521960362792015,0.00260747722510132
0.0,14,0.0,86.33,3753,716,0.16,16,61248,60200,1e-05,0.08975018233060837,0.0031041413355706025
0.0,14,0.0,87.81,3757,720,0.14,16,61648,60600,1e-05,0.08529435217380524,0.004385119243961526
0.0,14,0.0,87.05,3761,724,0.15,16,61972,60950,1e-05,0.08936096101999283,0.001620009473481332
0.0,14,0.0,87.05,3765,728,0.15,16,62372,61350,1e-05,0.08726833313703537,0.0003883425063395407
0.0,14,0.0,88.04,3768,732,0.14,16,62673,61650,1e-05,0.03481173379346728,0.12843793619889765
0.0,14,0.0,88.21,3771,736,0.13,16,62984,61950,1e-05,0.09096012592315673,0.0022157952113775535
0.0,14,0.0,87.51,3774,740,0.14,16,63314,62300,1e-05,0.09940155982971191,0.01583437567242072
0.0,14,0.0,87.34,3777,744,0.14,16,63615,62600,1e-05,0.08681804656982423,0.003449047086323844
0.0,14,0.0,88.23,3781,748,0.13,16,64015,63000,1e-05,0.09188908398151398,0.00023787851103406865
0.0,14,0.0,87.52,3784,752,0.14,17,64344,63300,1e-05,0.08380889415740966,0.003374355880805524
0.0,14,0.0,88.47,3788,756,0.13,17,64744,63700,1e-05,0.08923996865749359,0.002270746378490003
0.0,14,0.0,88.47,3792,760,0.13,17,65144,64100,1e-05,0.08470378100872039,0.0031984485583961943
0.0,14,0.0,88.47,3795,764,0.13,17,65445,64400,1e-05,0.08300562053918839,0.0031053283378787455
0.0,14,0.0,87.97,3799,768,0.14,17,65795,64750,1e-05,0.08729562804102897,0.0012531577391928295
0.0,14,0.0,88.18,3802,772,0.14,17,66117,65100,1e-05,0.08780206486582756,0.008637015091953798
0.0,14,0.0,89.13,3806,776,0.13,17,66517,65500,1e-05,0.09485736310482025,0.001424320777587127
0.0,14,0.0,88.15,3809,780,0.14,17,66819,65800,1e-05,0.05042115665972233,0.2130743798850017
0.0,14,0.0,87.27,3812,784,0.15,17,67047,66000,1e-05,0.08361824303865432,0.0023887758192722686
