# {"t_start": 1755705826.1284919, "env_id": "Office-new-multiple-v0"} 
r,l,t
0.0,35,12.764725
1.0,15,12.785109
0.0,14,12.807456
1.0,31,12.828751
0.0,6,12.875977
1.0,32,12.904133
0.0,31,12.955326
0.0,10,13.000849
0.0,125,13.062991
1.0,38,13.093544
0.0,18,13.132364
1.0,37,13.16186
1.0,75,13.184676
0.0,5,13.196982
1.0,17,13.210291
1.0,27,13.237804
0.0,7,13.256496
0.0,20,13.279387
0.0,40,13.297647
0.0,73,13.36346
0.0,40,13.384351
0.0,20,13.403093
0.0,42,13.440083
1.0,47,13.467759
0.0,27,13.507116
0.0,2,13.52353
0.0,11,13.532178
0.0,3,13.548694
0.0,3,13.565325
1.0,52,13.595071
0.0,91,13.644374
1.0,26,13.668634
0.0,13,13.700326
1.0,102,13.761333
0.0,31,13.796883
0.0,75,13.850914
0.0,105,13.873478
1.0,32,13.895602
0.0,5,13.904958
1.0,8,13.914787
0.0,41,13.926718
1.0,116,13.987284
0.0,54,14.020995
1.0,37,14.035369
0.0,3,14.044324
1.0,45,14.066359
0.0,92,14.086361
0.0,10,14.09775
0.0,51,14.113944
0.0,26,14.133291
0.0,34,14.164318
1.0,8,14.175803
0.0,4,14.203984
1.0,8,14.214963
0.0,47,14.232407
1.0,51,14.2549
0.0,20,14.27077
0.0,37,14.287772
0.0,11,14.300677
1.0,41,14.311851
0.0,6,14.339298
0.0,33,14.371368
1.0,83,14.391772
1.0,90,14.442505
0.0,2,14.454468
1.0,43,14.467506
0.0,34,14.500521
1.0,46,14.515771
0.0,21,14.54062
1.0,56,14.562482
0.0,34,14.576811
0.0,63,14.616657
0.0,22,14.644914
1.0,31,14.663656
1.0,10,14.670303
1.0,27,14.688852
0.0,38,14.714894
1.0,68,14.738216
1.0,14,14.747077
1.0,116,14.798375
0.0,52,14.813129
1.0,36,14.831502
0.0,5,14.841512
0.0,2,14.853331
0.0,15,14.864377
1.0,109,14.918658
0.0,24,14.944067
1.0,81,14.965658
0.0,27,14.981828
0.0,51,15.022062
0.0,11,15.032633
1.0,39,15.045367
0.0,1,15.054947
0.0,17,15.067754
0.0,5,15.091936
0.0,40,15.108079
0.0,20,15.118679
1.0,35,15.131388
1.0,25,15.138433
0.0,95,15.18766
0.0,43,15.200213
0.0,6,15.212457
0.0,8,15.225562
1.0,17,15.234704
0.0,38,15.262737
1.0,19,15.271944
1.0,56,15.283115
1.0,38,15.296278
0.0,38,15.312389
0.0,17,15.341728
0.0,3,15.35362
1.0,101,15.403949
0.0,3,15.428399
1.0,66,15.452073
0.0,49,15.482069
1.0,7,15.492927
0.0,9,15.503452
1.0,63,15.526173
0.0,40,15.556819
1.0,96,15.607206
0.0,35,15.620875
0.0,35,15.651181
0.0,6,15.659226
0.0,2,15.667179
0.0,3,15.679621
